menu_n,m_name,type_n,class_n,menu_t,recipe,category,grade,description
1,초밥,101,202,3,1003 1004,Seafood|Grain,A,신선한 생선을 얹은 기본 초밥
2,새우튀김,101,203,3,1003 1005,Seafood,B,바삭하게 튀긴 새우 요리
3,미역무침,101,202,3,1001 1002,Seaweed,C,새콤하게 무친 미역 반찬
4,미역국,101,204,5,1001 1006 1015,Seaweed,B,몸을 데워주는 따뜻한 미역국
5,전복 죽,102,204,6,1003 1007 1013,PremiumSeafood|Grain,S,전복을 넣어 끓인 보양 죽
6,회덮밥,103,202,10,1001 1002 1003 1004,Seafood|Grain,A,싱싱한 회를 올린 덮밥
7,생선구이,101,201,3,1004 1013,Seafood,C,노릇하게 구운 생선구이
8,타코야끼,101,203,5,1009 1010 1014,Seafood,B,문어가 들어간 인기 간식
9,전복찜,102,204,6,1006 1007 1015,PremiumSeafood,S,부드럽게 쪄낸 고급 전복찜
10,야채꼬치,101,201,5,1008 1011 1012,Mushroom,C,여러 야채를 꿴 담백한 꼬치
